"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Products API","1","0","POST is not supported on the products list endpoint","0"
"0","","0","Verify Login API","1","0","Verify login with invalid credentials","0"
"0","","0","Account Lifecycle API","1","0","Create, verify, update, fetch and delete an account","0"
"0","","0","Product search and details","1","0","View a product's detail","0"
"0","","0","Product search and details","1","0","View the list of all products","0"
"0","","0","Checkout","1","0","Place an order with a dummy card and see the order confirmation","0"
"0","","0","Verify Login API","1","0","Verify login without the email parameter","0"
"0","","0","Home page smoke checks","1","0","Category navigation from the homepage works","0"
"0","","0","Brands API","1","0","PUT is not supported on the brands list endpoint","0"
"0","","0","Login and logout","1","0","Login with invalid credentials shows an error","0"
"0","","0","Checkout","1","0","Recalculate totals when the quantity changes","0"
"0","","0","Shopping cart","1","0","Add a product to the cart and verify quantity and price","0"
"0","","0","Home page smoke checks","1","0","Newsletter subscription from the footer succeeds","0"
"0","","0","Login and logout","1","0","Logout from a logged-in session","0"
"0","","0","Search Product API","1","0","Search for an existing product term","0"
"0","","0","Search Product API","1","0","Searching without the required parameter fails","0"
"0","","0","Verify Login API","1","0","DELETE is not supported on the verify login endpoint","0"
"0","","0","Shopping cart","1","0","Remove a product from the cart","0"
"0","","0","Verify Login API","1","0","Verify login with valid credentials","0"
"0","","0","User registration","1","0","Register a new user with valid data and then delete the account","0"
"0","","0","Shopping cart","1","0","Add multiple products and validate each subtotal","0"
"0","","0","User registration","1","0","Attempt to register with an already existing email shows an error","0"
"0","","0","Home page smoke checks","1","0","The homepage loads with a working header","0"
"0","","0","Brands API","1","0","Get the full brands list","0"
"0","","0","Login and logout","1","0","Login with valid credentials shows the logged-in user","0"
"0","","0","Product search and details","1","0","Search a product by name and get coherent results","0"
"0","","0","Checkout","1","0","Proceed to checkout as a logged-in user and see the correct address","0"
"0","","0","Shopping cart","1","0","Update quantity from the product detail page","0"
"0","","0","Products API","1","0","Get the full products list","0"
